9489,7195,4895,3099,67345,197383,327937,589824,1566,543,65560,196621,393220,720896,983040,1310720,131102,262165,524298,786435,1114624,1443072,1706496,1904896,590609,919303,1248257,1512192,1842176,1975552,2043393,2045447,1318660,1648640,1912832,2045952,2047232,1982211,1851146,1587989,1916416,2047744,2047488,1980672,1716997,1452558,1122585,792607,2043904,1910528,1646081,1381639,1052178,722972,459807,262427,1575936,1246723,918282,590101,327710,196639,65560,13
7195,4895,3099,67345,197383,327937,589824,917504,543,65560,196621,393220,720896,983040,1310720,1638912,262165,524298,786435,1114624,1443072,1706496,1904896,2038021,919303,1248257,1512192,1842176,1975552,2043393,2045447,1915922,1648640,1912832,2045952,2047232,1982211,1851146,1587989,1258782,2047744,2047488,1980672,1716997,1452558,1122585,792607,528413,1910528,1646081,1381639,1052178,722972,459807,262427,65553,1246723,918282,590101,327710,196639,65560,13,4
4895,3099,67345,197383,327937,589824,917504,1245184,65560,196621,393220,720896,983040,1310720,1638912,1901571,524298,786435,1114624,1443072,1706496,1904896,2038021,2040590,1248257,1512192,1842176,1975552,2043393,2045447,1915922,1654556,1912832,2045952,2047232,1982211,1851146,1587989,1258782,929055,2047488,1980672,1716997,1452558,1122585,792607,528413,264468,1646081,1381639,1052178,722972,459807,262427,65553,7,918282,590101,327710,196639,65560,13,4,256
3099,67345,197383,327937,589824,917504,1245184,1507329,196621,393220,720896,983040,1310720,1638912,1901571,2033930,786435,1114624,1443072,1706496,1904896,2038021,2040590,1977369,1512192,1842176,1975552,2043393,2045447,1915922,1654556,1392415,2045952,2047232,1982211,1851146,1587989,1258782,929055,598808,1980672,1716997,1452558,1122585,792607,528413,264468,132362,1381639,1052178,722972,459807,262427,65553,7,1,590101,327710,196639,65560,13,4,256,1024
67345,197383,327937,589824,917504,1245184,1507329,1835015,393220,720896,983040,1310720,1638912,1901571,2033930,2035477,1114624,1443072,1706496,1904896,2038021,2040590,1977369,1717279,1842176,1975552,2043393,2045447,1915922,1654556,1392415,1063963,2047232,1982211,1851146,1587989,1258782,929055,598808,334349,1716997,1452558,1122585,792607,528413,264468,132362,66050,1052178,722972,459807,262427,65553,7,1,0,327710,196639,65560,13,4,256,1024,2048
197383,327937,589824,917504,1245184,1507329,1835015,1966354,720896,983040,1310720,1638912,1901571,2033930,2035477,1971998,1443072,1706496,1904896,2038021,2040590,1977369,1717279,1456925,1975552,2043393,2045447,1915922,1654556,1392415,1063963,734993,1982211,1851146,1587989,1258782,929055,598808,334349,201220,1452558,1122585,792607,528413,264468,132362,66050,0,722972,459807,262427,65553,7,1,0,0,196639,65560,13,4,256,1024,2048,3584
327937,589824,917504,1245184,1507329,1835015,1966354,2032412,983040,1310720,1638912,1901571,2033930,2035477,1971998,1843231,1706496,1904896,2038021,2040590,1977369,1717279,1456925,1130004,2043393,2045447,1915922,1654556,1392415,1063963,734993,470791,1851146,1587989,1258782,929055,598808,334349,201220,68352,1122585,792607,528413,264468,132362,66050,0,0,459807,262427,65553,7,1,0,0,256,65560,13,4,256,1024,2048,3584,70915
589824,917504,1245184,1507329,1835015,1966354,2032412,2033695,1310720,1638912,1901571,2033930,2035477,1971998,1843231,1518102,1904896,2038021,2040590,1977369,1717279,1456925,1130004,802568,2045447,1915922,1654556,1392415,1063963,734993,470791,205825,1587989,1258782,929055,598808,334349,201220,68352,1280,792607,528413,264468,132362,66050,0,0,0,262427,65553,7,1,0,0,256,770,13,4,256,1024,2048,3584,70915,204556
917504,1245184,1507329,1835015,1966354,2032412,2033695,1838618,1638912,1901571,2033930,2035477,1971998,1843231,1518102,1192715,2038021,2040590,1977369,1717279,1456925,1130004,802568,474370,1915922,1654556,1392415,1063963,734993,470791,205825,72448,1258782,929055,598808,334349,201220,68352,1280,512,528413,264468,132362,66050,0,0,0,1,65553,7,1,0,0,256,770,67337,4,256,1024,2048,3584,70915,204556,469015
1245184,1507329,1835015,1966354,2032412,2033695,1838618,1578511,1901571,2033930,2035477,1971998,1843231,1518102,1192715,866819,2040590,1977369,1717279,1456925,1130004,802568,474370,276480,1654556,1392415,1063963,734993,470791,205825,72448,4864,929055,598808,334349,201220,68352,1280,512,0,264468,132362,66050,0,0,0,1,6,7,1,0,0,256,770,67337,199955,256,1024,2048,3584,70915,204556,469015,733471
